Topic;INI Name;Tech Name;Type;Default;Version;Category;Version Antares
General;efficiency;efficiency;float;0.0;8.6;storage;860
General;enabled;enabled;bool;True;8.8;storage;880
General;group;group;str;;8.6;storage;860
General;initiallevel;initial_level;float;0;8.6;storage;860
General;initiallevel;initial_level;float;0.5;8.8;storage;880
General;initialleveloptim;initial_level_optim;bool;False;8.6;storage;860
General;injectionnominalcapacity;injection_nominal_capacity;float;0.2;8.4;storage;840
General;injectionnominalcapacity;injection_nominal_capacity;float;0.1;8.5;storage;850
General;injectionnominalcapacity;injection_nominal_capacity;float;0.0;8.6;storage;860
General;name;name;str;;8.6;storage;860
General;reservoircapacity;reservoir_capacity;float;0.0;8.6;storage;860
General;withdrawalnominalcapacity;withdrawal_nominal_capacity;float;0.0;8.6;storage;860
